,EV/EBIT,Op. In./(NWC+FA),P/E,P/B,P/S,Op. In./Interest Expense,Working Capital Ratio,RoE,ROCE,Debt/Equity,Debt Ratio,Cash Ratio,Asset Turnover,Gross Profit Margin,Perf
3400,6.381478136,0.204089019,10.87582159,1.955388665,1.043913813,507.5,1.683475803,0.179792271,0.205403288,0.746217312,2.340092201,0.489969668,1.896558983,0.315558179,0.055388495
12853,13.06309404,0.32001494,18.03360668,2.593586697,2.29040997,23.01547676,2.739353422,0.143819633,0.143780529,0.619297331,2.614733263,1.01302873,4.911930558,0.512352631,0.112594841
11564,22.9464297,0.049591873,-11.77103725,2.470096396,0.154558016,0.518199211,2.304270869,-0.209845262,0.043381136,6.343013417,1.157653773,0.384641249,9.211404049,0.057980355,0.94733955
6584,9.117307883,0.124919176,12.25490798,100,0.406767157,-200,1.989239015,5,0.115157754,100,1.003976802,0.179304223,7.571731983,0.082256955,0.032850242
2810,-41.56114915,0.418361737,20.87046138,0.850370109,1.098445336,39.27741935,1.379838537,0.040745151,0.039916086,3.682289895,1.271570145,1.117835757,26.5335277,1,-0.015705389
7382,12.76171363,0.746011487,18.84313154,3.573144841,0.206325166,9.741666667,1.0848902,0.18962585,0.161218259,3.929988662,1.25445366,0.114997425,92.50264951,0.056311172,0.668404588
875,28.08477552,0.16125643,11.53895221,1.453864265,0.013403297,-4.181044268,1.158771049,0.125996212,0.12987287,4.837210965,1.206730698,0.07756745,2000,0.004035759,0.371527778
313,17.2857037,0.454627426,25.55882314,5.808614434,3.788686146,297.557377,1.137597445,0.22726455,0.273510555,3.806422596,1.262713867,0.149630083,15.32963574,0.409274036,0.010099751
5289,18.79147194,0.161409683,28.37340563,3.233713194,2.180825458,-200,3.115355497,0.113969864,0.150153623,0.346399637,3.886839057,0.51222844,2.985501833,0.239120166,-0.149047326
2148,13.14260975,0.199887809,19.36982037,3.288511866,1.053851805,31.37248677,0.909786827,0.169775032,0.165288458,0.883936549,2.131302921,0.330267869,2.366528522,0.430439294,0.362583261
7871,10.82978505,0.341606233,16.50578146,4.058057338,4.195969505,-200,2.504021918,0.245856723,0.219471596,0.919985744,2.086973366,1.878553425,6.673814465,0.688160031,0.090133702
4904,34.87907153,0.167883713,45.41677817,4.688927926,11.59130248,2.431139042,0.07066933,0.103242196,0.151793748,1.677689339,1.59605791,0.036166153,0.16778477,0.813786352,0.272445272
1167,23.14953817,0.057388678,51.65348899,0.767879328,0.62437473,2.538461538,1.31765378,0.014865972,0.026320428,1.299719068,1.769397037,0.293848791,1.041123718,0.182696426,-0.191405538
3005,11.52392563,0.167633279,23.38510426,1.81002429,0.308383287,4.565279361,1.996041997,0.077400736,0.082119523,2.845936728,1.351378156,0.506151003,4.530625841,0.157037929,0.274692308
12112,19.50939062,0.821584376,14.10789761,8.912361091,6.160926209,-200,2.871151676,0.631728507,0.438950181,0.257171861,4.888450295,0.903594456,14.90882796,0.588601748,0.195710456
6453,5.719948319,0.352018665,11.33050293,1.721675836,0.395081396,-60.66800274,2.174895305,0.151950522,0.196169901,0.682939796,2.464257912,0.797606453,47.71115457,0.136115097,0.10417812
285,9.409118939,0.277056354,15.14520599,3.370503973,3.905358372,800,5.406647116,0.222545931,0.245054763,0.352879333,3.833829888,4.177009854,5.842410587,0.651609649,-0.034883721
8334,14.77007445,0.467522667,21.13691452,4.427748423,1.674641117,-200,1.726281957,0.209479412,0.179791646,1.487672355,1.672191022,0.636277979,20.02887139,0.515939767,-0.132022472
